Date,Open,High,Low,Close,Adj Close,Volume
2018-12-30,25732.519531,25916.230469,24896.869141,25626.029297,25626.029297,5682687500
2019-01-06,26015.839844,26692.019531,25688.500000,26667.269531,26667.269531,9444585800
2019-01-13,26559.679688,27116.650391,26195.779297,27090.810547,27090.810547,8517048800
2019-01-20,27134.269531,27569.189453,26854.660156,27569.189453,27569.189453,8189161700
2019-01-27,27695.810547,28193.279297,27328.169922,27930.740234,27930.740234,9243878400
2019-02-03,27985.419922,28008.820313,27534.199219,27946.320313,27946.320313,2335730900
2019-02-10,27927.449219,28533.359375,27845.869141,27900.839844,27900.839844,8022602000
2019-02-17,28186.750000,28816.300781,28186.750000,28816.300781,28816.300781,8652788500
2019-02-24,28975.519531,29014.189453,28571.130859,28812.169922,28812.169922,12668298400
2019-03-03,28855.109375,29241.800781,28201.089844,28228.419922,28228.419922,11120058000
2019-03-10,28265.849609,29204.730469,28240.779297,29012.259766,29012.259766,7991465200
2019-03-17,29112.439453,29486.150391,28847.339844,29113.359375,29113.359375,8707368800
2019-03-24,28501.369141,29100.689453,28435.060547,29051.359375,29051.359375,9250585900
2019-03-31,29383.720703,30050.910156,29383.720703,29936.320313,29936.320313,8207780900
2019-04-07,30119.580078,30222.019531,29694.849609,29909.759766,29909.759766,9642276200
2019-04-14,30119.849609,30280.119141,29665.109375,29963.259766,29963.259766,8161897600
2019-04-21,29782.949219,30112.189453,29504.140625,29605.009766,29605.009766,6810698000
2019-04-28,29730.849609,30081.550781,29620.449219,30081.550781,30081.550781,5126035500
2019-05-05,29342.380859,29480.039063,28203.220703,28550.240234,28550.240234,12443236900
2019-05-12,27951.119141,28441.490234,27909.730469,27946.460938,27946.460938,9414700700
2019-05-19,27959.230469,27999.599609,27169.669922,27353.929688,27353.929688,10091920600
2019-05-26,27239.080078,27490.550781,26850.269531,26901.089844,26901.089844,10258325100
2019-06-02,26909.710938,27119.480469,26671.900391,26965.279297,26965.279297,6740009000
2019-06-09,27206.609375,27857.849609,26825.349609,27118.349609,27118.349609,9841300400
2019-06-16,27252.449219,28581.509766,27201.019531,28473.710938,28473.710938,9106024000
2019-06-23,28400.630859,28634.480469,27985.980469,28542.619141,28542.619141,7788805000
2019-06-30,28904.039063,29007.980469,28714.919922,28774.830078,28774.830078,5177103400
2019-07-07,28513.140625,28603.869141,28080.730469,28471.619141,28471.619141,5753925000
2019-07-14,28303.359375,28809.589844,28071.189453,28765.400391,28765.400391,5478289000
2019-07-21,28612.279297,28764.500000,28303.550781,28397.740234,28397.740234,5425702200
2019-07-28,28262.800781,28302.660156,26868.960938,26918.580078,26918.580078,8052270900
2019-08-04,26480.470703,26502.609375,25397.349609,25939.300781,25939.300781,9559694100
2019-08-11,25869.480469,26069.230469,24899.929688,25734.220703,25734.220703,9263348400
2019-08-18,25994.800781,26356.220703,25940.439453,26179.330078,26179.330078,9071467300
2019-08-25,25322.000000,26011.640625,25249.509766,25724.730469,25724.730469,9954647600
2019-09-01,25627.830078,26790.789063,25498.109375,26690.759766,26690.759766,9024765300
2019-09-08,26743.359375,27366.449219,26609.650391,27352.689453,27352.689453,8024758000
2019-09-15,27212.890625,27212.890625,26372.089844,26435.669922,26435.669922,8715863500
2019-09-22,26463.619141,26483.029297,25840.660156,25954.810547,25954.810547,7821959300
2019-09-29,25844.710938,26192.869141,25612.490234,25821.029297,25821.029297,4825683300
2019-10-06,25848.730469,26393.009766,25521.949219,26308.439453,26308.439453,6832654400
2019-10-13,26520.929688,26985.080078,26386.410156,26719.580078,26719.580078,8300547800
2019-10-20,26715.220703,26844.289063,26491.710938,26667.390625,26667.390625,6460736700
2019-10-27,26770.109375,27102.419922,26602.949219,27100.759766,27100.759766,7874682400
2019-11-03,27299.880859,27900.800781,27299.460938,27651.140625,27651.140625,7688199000
2019-11-10,27361.410156,27361.410156,26203.970703,26326.660156,26326.660156,7661269500
2019-11-17,26442.390625,27093.800781,26306.019531,26595.080078,26595.080078,7113739800
2019-11-24,26873.349609,27227.869141,26308.099609,26346.490234,26346.490234,8051014900
2019-12-01,26475.339844,26520.080078,25995.150391,26498.369141,26498.369141,7518929200
2019-12-08,26513.970703,27687.759766,26355.529297,27687.759766,27687.759766,7331619800
2019-12-15,27530.500000,27959.519531,27473.320313,27871.349609,27871.349609,6324471700
2019-12-22,28024.619141,28226.109375,27792.660156,28225.419922,28225.419922,3075834200
2019-12-29,28250.480469,28883.300781,28123.859375,28451.500000,28451.500000,5354798900
2020-01-05,28326.500000,28665.140625,27857.730469,28638.199219,28638.199219,7946542600
2020-01-12,28772.369141,29149.529297,28619.099609,29056.419922,29056.419922,7814690100
2020-01-19,29169.119141,29174.919922,27706.369141,27949.640625,27949.640625,7578585400
2020-01-26,27101.539063,27333.300781,26295.490234,26312.630859,26312.630859,6301659100
2020-02-02,26189.609375,27608.220703,26145.589844,27404.269531,27404.269531,11134700200
2020-02-09,27092.150391,27960.660156,27044.880859,27815.599609,27815.599609,8339550600
2020-02-16,27766.710938,28055.580078,27264.779297,27308.810547,27308.810547,7832445200
